ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
Myocardial Infarction	Myocardial Infarction	21/196	52/1764	2.82E-08	3.11E-07	1.12E-07	hsa-mir-106a/hsa-mir-16-2/hsa-mir-16-1/hsa-mir-103a-2/hsa-mir-103a-1/hsa-mir-126/hsa-mir-23a/hsa-mir-107/hsa-mir-210/hsa-mir-320a/hsa-mir-29b-2/hsa-mir-151a/hsa-mir-29b-1/hsa-mir-149/hsa-mir-1-2/hsa-mir-155/hsa-mir-29c/hsa-mir-1-1/hsa-mir-499a/hsa-mir-31/hsa-mir-151b	21
Chronic Hepatitis C	Chronic Hepatitis C	17/196	36/1764	3.93E-08	4.26E-07	1.53E-07	hsa-mir-16-2/hsa-mir-16-1/hsa-mir-33a/hsa-mir-199a-2/hsa-mir-23a/hsa-let-7a-1/hsa-let-7a-2/hsa-mir-199a-1/hsa-mir-30c-1/hsa-mir-30c-2/hsa-mir-222/hsa-mir-296/hsa-mir-149/hsa-mir-196b/hsa-mir-1-2/hsa-mir-155/hsa-mir-1-1	17
"Carcinoma, Renal Cell"	"Carcinoma, Renal Cell"	34/196	119/1764	4.04E-08	4.30E-07	1.54E-07	hsa-mir-106a/hsa-mir-148b/hsa-mir-16-2/hsa-mir-16-1/hsa-let-7f-1/hsa-let-7f-2/hsa-mir-590/hsa-mir-126/hsa-mir-199a-2/hsa-mir-142/hsa-mir-148a/hsa-mir-19a/hsa-let-7a-1/hsa-let-7a-2/hsa-let-7a-3/hsa-mir-199a-1/hsa-mir-30c-1/hsa-mir-210/hsa-mir-134/hsa-let-7e/hsa-mir-30c-2/hsa-mir-143/hsa-mir-222/hsa-mir-7-1/hsa-mir-200c/hsa-mir-1291/hsa-mir-93/hsa-mir-509-1/hsa-mir-452/hsa-mir-509-3/hsa-mir-509-2/hsa-mir-155/hsa-mir-203a/hsa-mir-34b	34
Spinal Cord Injuries	Spinal Cord Injuries	10/196	13/1764	4.92E-08	5.15E-07	1.85E-07	hsa-mir-16-2/hsa-mir-16-1/hsa-mir-142/hsa-mir-23a/hsa-let-7a-1/hsa-let-7a-2/hsa-let-7a-3/hsa-mir-29b-2/hsa-mir-29b-1/hsa-mir-130a	10
"1,25-dihydroxyvitamin D 3 (calcitriol)"	"1,25-dihydroxyvitamin D 3 (calcitriol)"	13/196	22/1764	5.44E-08	5.60E-07	2.01E-07	hsa-mir-16-2/hsa-mir-16-1/hsa-mir-126/hsa-mir-32/hsa-mir-675/hsa-mir-100/hsa-mir-582/hsa-mir-1-2/hsa-mir-1-1/hsa-mir-217/hsa-mir-187/hsa-mir-483/hsa-mir-1247	13
EGR1	EGR1	15/196	29/1764	5.53E-08	5.60E-07	2.01E-07	hsa-mir-106a/hsa-mir-455/hsa-mir-142/hsa-mir-301b/hsa-mir-130b/hsa-mir-148a/hsa-mir-23a/hsa-mir-642a/hsa-mir-32/hsa-mir-30e/hsa-let-7e/hsa-mir-132/hsa-mir-149/hsa-mir-212/hsa-mir-99b	15
hepatitis B virus (HBV)	hepatitis B virus (HBV)	19/196	45/1764	5.75E-08	5.73E-07	2.05E-07	hsa-mir-16-2/hsa-mir-16-1/hsa-mir-331/hsa-mir-192/hsa-mir-199a-2/hsa-mir-1271/hsa-mir-19a/hsa-mir-23a/hsa-mir-199a-1/hsa-mir-23b/hsa-mir-210/hsa-mir-675/hsa-mir-143/hsa-mir-93/hsa-mir-19b-1/hsa-mir-212/hsa-mir-19b-2/hsa-mir-155/hsa-mir-29c	19
Cell Cycle	Cell Cycle	27/196	83/1764	6.17E-08	5.85E-07	2.10E-07	hsa-mir-16-2/hsa-mir-16-1/hsa-mir-103a-2/hsa-mir-103a-1/hsa-mir-33b/hsa-mir-331/hsa-mir-19a/hsa-let-7a-1/hsa-let-7a-2/hsa-let-7a-3/hsa-mir-140/hsa-mir-107/hsa-mir-210/hsa-mir-143/hsa-mir-222/hsa-mir-320a/hsa-mir-29b-2/hsa-mir-29b-1/hsa-mir-200c/hsa-mir-19b-1/hsa-mir-18a/hsa-mir-1-2/hsa-mir-19b-2/hsa-mir-155/hsa-mir-1-1/hsa-mir-31/hsa-mir-34b	27
Epithelial-to-Mesenchymal Transition	Epithelial-to-Mesenchymal Transition	27/196	83/1764	6.17E-08	5.85E-07	2.10E-07	hsa-mir-103a-2/hsa-mir-103a-1/hsa-mir-590/hsa-mir-192/hsa-let-7a-1/hsa-let-7a-2/hsa-let-7a-3/hsa-mir-23b/hsa-mir-107/hsa-mir-30c-1/hsa-mir-30e/hsa-mir-210/hsa-mir-675/hsa-let-7e/hsa-mir-30c-2/hsa-mir-143/hsa-mir-29b-2/hsa-mir-29b-1/hsa-mir-200c/hsa-mir-100/hsa-mir-18a/hsa-mir-155/hsa-mir-203a/hsa-mir-29c/hsa-mir-203b/hsa-mir-31/hsa-mir-486-1	27
Asthma	Asthma	18/196	41/1764	6.31E-08	5.85E-07	2.10E-07	hsa-mir-148b/hsa-let-7f-1/hsa-let-7f-2/hsa-mir-126/hsa-mir-148a/hsa-mir-19a/hsa-let-7a-1/hsa-let-7a-2/hsa-let-7a-3/hsa-mir-140/hsa-let-7e/hsa-mir-143/hsa-mir-200c/hsa-mir-149/hsa-mir-18a/hsa-mir-155/hsa-mir-499a/hsa-mir-187	18
Crohn Disease	Crohn Disease	16/196	33/1764	6.34E-08	5.85E-07	2.10E-07	hsa-mir-301a/hsa-mir-192/hsa-mir-142/hsa-mir-19a/hsa-mir-361/hsa-let-7e/hsa-mir-29b-2/hsa-mir-29b-1/hsa-mir-149/hsa-mir-196b/hsa-mir-19b-1/hsa-mir-18a/hsa-mir-19b-2/hsa-mir-155/hsa-mir-29c/hsa-mir-31	16
Psoriasis	Psoriasis	16/196	33/1764	6.34E-08	5.85E-07	2.10E-07	hsa-mir-106a/hsa-mir-33b/hsa-mir-33a/hsa-mir-19a/hsa-let-7a-1/hsa-let-7a-2/hsa-let-7a-3/hsa-mir-210/hsa-mir-143/hsa-mir-130a/hsa-mir-1266/hsa-mir-155/hsa-mir-203a/hsa-mir-203b/hsa-mir-31/hsa-mir-217	16
Cystic Fibrosis	Cystic Fibrosis	11/196	16/1764	6.49E-08	5.91E-07	2.12E-07	hsa-mir-16-2/hsa-mir-16-1/hsa-mir-199a-2/hsa-mir-199a-1/hsa-let-7e/hsa-mir-509-1/hsa-mir-509-3/hsa-mir-509-2/hsa-mir-155/hsa-mir-99b/hsa-mir-31	11
Apoptosis	Apoptosis	31/196	106/1764	9.73E-08	8.70E-07	3.12E-07	hsa-mir-16-2/hsa-mir-16-1/hsa-mir-323b/hsa-mir-551b/hsa-mir-126/hsa-mir-148a/hsa-mir-19a/hsa-mir-23a/hsa-mir-323a/hsa-mir-30e/hsa-mir-210/hsa-mir-143/hsa-mir-222/hsa-mir-29b-2/hsa-mir-7-1/hsa-mir-132/hsa-mir-29b-1/hsa-mir-130a/hsa-mir-19b-1/hsa-mir-18a/hsa-mir-1-2/hsa-mir-504/hsa-mir-19b-2/hsa-mir-155/hsa-mir-203a/hsa-mir-29c/hsa-mir-203b/hsa-mir-552/hsa-mir-133a-2/hsa-mir-34b/hsa-mir-605	31
Mesothelioma	Mesothelioma	9/196	11/1764	9.83E-08	8.70E-07	3.12E-07	hsa-mir-106a/hsa-mir-103a-2/hsa-mir-103a-1/hsa-mir-126/hsa-mir-30c-1/hsa-mir-30c-2/hsa-mir-143/hsa-mir-132/hsa-mir-31	9
Choriocarcinoma	Choriocarcinoma	22/196	60/1764	1.04E-07	8.91E-07	3.20E-07	hsa-mir-106a/hsa-mir-16-2/hsa-mir-16-1/hsa-mir-103a-2/hsa-mir-103a-1/hsa-mir-199b/hsa-mir-126/hsa-mir-192/hsa-let-7a-1/hsa-let-7a-2/hsa-let-7a-3/hsa-mir-210/hsa-mir-143/hsa-mir-200c/hsa-mir-93/hsa-mir-95/hsa-mir-155/hsa-mir-203a/hsa-mir-99b/hsa-mir-203b/hsa-mir-31/hsa-mir-133a-2	22
Lymphoma	Lymphoma	22/196	60/1764	1.04E-07	8.91E-07	3.20E-07	hsa-mir-16-2/hsa-mir-16-1/hsa-mir-199a-2/hsa-mir-19a/hsa-mir-23a/hsa-mir-199a-1/hsa-mir-23b/hsa-mir-128-2/hsa-mir-143/hsa-mir-200c/hsa-mir-19b-1/hsa-mir-212/hsa-mir-18a/hsa-mir-504/hsa-mir-19b-2/hsa-mir-155/hsa-mir-203a/hsa-mir-203b/hsa-mir-499a/hsa-mir-31/hsa-mir-20b/hsa-mir-486-1	22
Cell Proliferation	Cell Proliferation	26/196	80/1764	1.14E-07	9.68E-07	3.47E-07	hsa-mir-16-2/hsa-mir-16-1/hsa-mir-199a-2/hsa-let-7a-1/hsa-let-7a-2/hsa-mir-199a-1/hsa-mir-140/hsa-mir-210/hsa-let-7e/hsa-mir-143/hsa-mir-222/hsa-mir-29b-2/hsa-mir-29b-1/hsa-mir-200c/hsa-mir-93/hsa-mir-196b/hsa-mir-130a/hsa-mir-509-1/hsa-mir-1-2/hsa-mir-509-3/hsa-mir-509-2/hsa-mir-203a/hsa-mir-29c/hsa-mir-1-1/hsa-mir-203b/hsa-mir-34b	26
Estradiol (E2)	Estradiol (E2)	25/196	75/1764	1.17E-07	9.77E-07	3.50E-07	hsa-mir-16-2/hsa-mir-16-1/hsa-let-7f-1/hsa-let-7f-2/hsa-mir-103a-2/hsa-mir-103a-1/hsa-mir-126/hsa-mir-148a/hsa-mir-23a/hsa-let-7a-1/hsa-let-7a-2/hsa-let-7a-3/hsa-mir-128-2/hsa-mir-107/hsa-mir-30c-1/hsa-let-7e/hsa-mir-153-2/hsa-mir-30c-2/hsa-mir-143/hsa-mir-222/hsa-mir-200c/hsa-mir-1-2/hsa-mir-203a/hsa-mir-1-1/hsa-mir-34b	25
Cell Differentiation	Cell Differentiation	21/196	56/1764	1.32E-07	1.09E-06	3.91E-07	hsa-mir-16-2/hsa-mir-16-1/hsa-let-7f-1/hsa-let-7f-2/hsa-mir-126/hsa-mir-136/hsa-let-7a-1/hsa-let-7a-2/hsa-let-7a-3/hsa-mir-210/hsa-let-7e/hsa-mir-143/hsa-mir-222/hsa-mir-200c/hsa-mir-18a/hsa-mir-1-2/hsa-mir-155/hsa-mir-203a/hsa-mir-1-1/hsa-mir-203b/hsa-mir-34b	21
radiation	radiation	27/196	87/1764	1.88E-07	1.53E-06	5.50E-07	hsa-mir-106a/hsa-mir-148b/hsa-mir-16-2/hsa-mir-16-1/hsa-let-7f-1/hsa-let-7f-2/hsa-mir-590/hsa-mir-126/hsa-mir-135b/hsa-mir-148a/hsa-let-7a-1/hsa-let-7a-2/hsa-let-7a-3/hsa-mir-128-2/hsa-mir-210/hsa-mir-410/hsa-let-7e/hsa-mir-222/hsa-mir-29b-2/hsa-mir-29b-1/hsa-mir-100/hsa-mir-130a/hsa-mir-18a/hsa-mir-155/hsa-mir-31/hsa-mir-1224/hsa-mir-34b	27
paclitaxel (PTX)	paclitaxel (PTX)	24/196	72/1764	2.15E-07	1.73E-06	6.21E-07	hsa-mir-16-2/hsa-mir-16-1/hsa-mir-126/hsa-mir-199a-2/hsa-mir-135b/hsa-let-7a-1/hsa-let-7a-2/hsa-let-7a-3/hsa-mir-199a-1/hsa-mir-210/hsa-mir-29b-2/hsa-mir-340/hsa-mir-29b-1/hsa-mir-200c/hsa-mir-19b-1/hsa-mir-212/hsa-mir-18a/hsa-mir-19b-2/hsa-mir-155/hsa-mir-203a/hsa-mir-29c/hsa-mir-31/hsa-mir-1180/hsa-mir-133a-2	24
"Carcinoma, Ovarian, Serous"	"Carcinoma, Ovarian, Serous"	13/196	24/1764	2.22E-07	1.77E-06	6.34E-07	hsa-mir-106a/hsa-mir-16-2/hsa-mir-16-1/hsa-mir-103a-2/hsa-mir-103a-1/hsa-let-7a-1/hsa-let-7a-2/hsa-let-7a-3/hsa-mir-30e/hsa-mir-509-1/hsa-mir-509-3/hsa-mir-509-2/hsa-mir-483	13
"Squamous Cell Carcinoma, Oral"	"Squamous Cell Carcinoma, Oral"	26/196	83/1764	2.64E-07	2.07E-06	7.42E-07	hsa-mir-16-2/hsa-mir-16-1/hsa-mir-455/hsa-let-7f-1/hsa-let-7f-2/hsa-mir-126/hsa-mir-142/hsa-mir-19a/hsa-let-7a-1/hsa-let-7a-2/hsa-let-7a-3/hsa-mir-23b/hsa-mir-32/hsa-mir-210/hsa-mir-143/hsa-mir-222/hsa-mir-29b-2/hsa-mir-340/hsa-mir-29b-1/hsa-mir-200c/hsa-mir-155/hsa-mir-203a/hsa-mir-99b/hsa-mir-203b/hsa-mir-31/hsa-mir-133a-2	26
Hormone-mediated Signaling Pathway 	Hormone-mediated Signaling Pathway 	21/196	58/1764	2.67E-07	2.07E-06	7.42E-07	hsa-mir-16-2/hsa-mir-16-1/hsa-mir-126/hsa-mir-199a-2/hsa-mir-135b/hsa-mir-19a/hsa-mir-23a/hsa-let-7a-1/hsa-let-7a-2/hsa-let-7a-3/hsa-mir-199a-1/hsa-mir-23b/hsa-mir-128-2/hsa-mir-7-1/hsa-mir-132/hsa-mir-212/hsa-mir-18a/hsa-mir-1-2/hsa-mir-1-1/hsa-mir-499a/hsa-mir-133a-2	21
Autoimmune Diseases [unspecific]	Autoimmune Diseases [unspecific]	16/196	36/1764	2.92E-07	2.24E-06	8.02E-07	hsa-mir-106a/hsa-mir-301a/hsa-mir-126/hsa-mir-199a-2/hsa-mir-142/hsa-mir-23a/hsa-let-7a-1/hsa-let-7a-2/hsa-let-7a-3/hsa-mir-199a-1/hsa-mir-23b/hsa-mir-222/hsa-mir-200c/hsa-mir-149/hsa-mir-155/hsa-mir-31	16
hepatitis C virus (HCV)	hepatitis C virus (HCV)	19/196	49/1764	2.95E-07	2.24E-06	8.02E-07	hsa-mir-301a/hsa-mir-16-2/hsa-mir-16-1/hsa-mir-192/hsa-mir-199a-2/hsa-mir-130b/hsa-mir-19a/hsa-mir-199a-1/hsa-mir-30c-1/hsa-mir-30e/hsa-mir-30c-2/hsa-mir-132/hsa-mir-93/hsa-mir-130a/hsa-mir-155/hsa-mir-490/hsa-mir-99b/hsa-mir-499a/hsa-mir-486-1	19
TGF-beta	TGF-beta	27/196	90/1764	4.11E-07	3.07E-06	1.10E-06	hsa-mir-106a/hsa-mir-301a/hsa-mir-16-2/hsa-mir-16-1/hsa-mir-455/hsa-mir-148a/hsa-mir-23a/hsa-mir-577/hsa-mir-23b/hsa-mir-140/hsa-mir-675/hsa-mir-143/hsa-mir-222/hsa-mir-29b-2/hsa-mir-132/hsa-mir-29b-1/hsa-mir-200c/hsa-mir-93/hsa-mir-639/hsa-mir-1-2/hsa-mir-155/hsa-mir-203a/hsa-mir-490/hsa-mir-1-1/hsa-mir-99b/hsa-mir-31/hsa-mir-133a-2	27
Retinoic Acid	Retinoic Acid	17/196	41/1764	4.16E-07	3.07E-06	1.10E-06	hsa-mir-16-2/hsa-mir-16-1/hsa-mir-103a-2/hsa-mir-103a-1/hsa-mir-192/hsa-mir-199a-2/hsa-mir-23a/hsa-let-7a-1/hsa-let-7a-2/hsa-let-7a-3/hsa-mir-199a-1/hsa-mir-23b/hsa-mir-107/hsa-mir-222/hsa-mir-29b-2/hsa-mir-29b-1/hsa-mir-483	17
Systemic Lupus Erythematosus	Systemic Lupus Erythematosus	20/196	55/1764	4.86E-07	3.55E-06	1.27E-06	hsa-mir-16-2/hsa-mir-16-1/hsa-mir-126/hsa-mir-142/hsa-mir-148a/hsa-mir-345/hsa-mir-744/hsa-mir-410/hsa-let-7e/hsa-mir-579/hsa-mir-7-1/hsa-mir-758/hsa-mir-556/hsa-mir-328/hsa-mir-155/hsa-mir-3074/hsa-mir-29c/hsa-mir-31/hsa-mir-380/hsa-mir-34b	20
Hepatitis C Virus Infection	Hepatitis C Virus Infection	26/196	86/1764	5.84E-07	4.21E-06	1.51E-06	hsa-mir-16-2/hsa-mir-16-1/hsa-let-7f-1/hsa-let-7f-2/hsa-mir-126/hsa-mir-192/hsa-mir-136/hsa-mir-199a-2/hsa-mir-142/hsa-mir-148a/hsa-mir-19a/hsa-mir-23a/hsa-let-7a-1/hsa-let-7a-2/hsa-mir-199a-1/hsa-mir-576/hsa-mir-107/hsa-mir-134/hsa-let-7e/hsa-mir-29b-2/hsa-mir-758/hsa-mir-29b-1/hsa-mir-196b/hsa-mir-130a/hsa-mir-155/hsa-mir-217	26
Melanoma	Melanoma	34/196	132/1764	6.63E-07	4.73E-06	1.70E-06	hsa-mir-301a/hsa-mir-148b/hsa-mir-16-2/hsa-mir-16-1/hsa-mir-455/hsa-let-7f-1/hsa-let-7f-2/hsa-mir-33b/hsa-mir-33a/hsa-mir-199a-2/hsa-mir-142/hsa-let-7a-1/hsa-let-7a-2/hsa-let-7a-3/hsa-mir-199a-1/hsa-mir-23b/hsa-mir-210/hsa-let-7e/hsa-mir-143/hsa-mir-222/hsa-mir-29b-2/hsa-mir-340/hsa-mir-296/hsa-mir-29b-1/hsa-mir-200c/hsa-mir-19b-1/hsa-mir-328/hsa-mir-452/hsa-mir-19b-2/hsa-mir-155/hsa-mir-203a/hsa-mir-203b/hsa-mir-20b/hsa-mir-34b	34
Gastrointestinal Neoplasms	Gastrointestinal Neoplasms	25/196	82/1764	8.26E-07	5.83E-06	2.09E-06	hsa-mir-106a/hsa-mir-148b/hsa-mir-103a-2/hsa-mir-103a-1/hsa-mir-331/hsa-mir-126/hsa-mir-130b/hsa-mir-148a/hsa-mir-19a/hsa-mir-107/hsa-mir-210/hsa-mir-222/hsa-mir-320a/hsa-mir-340/hsa-mir-7-1/hsa-mir-132/hsa-mir-200c/hsa-mir-93/hsa-mir-100/hsa-mir-212/hsa-mir-18a/hsa-mir-155/hsa-mir-31/hsa-mir-20b/hsa-mir-34b	25
Hematopoiesis	Hematopoiesis	20/196	57/1764	9.49E-07	6.62E-06	2.37E-06	hsa-mir-126/hsa-mir-142/hsa-mir-19a/hsa-let-7a-1/hsa-let-7a-2/hsa-let-7a-3/hsa-mir-30c-1/hsa-let-7e/hsa-mir-30c-2/hsa-mir-143/hsa-mir-222/hsa-mir-196b/hsa-mir-100/hsa-mir-18a/hsa-mir-1-2/hsa-mir-155/hsa-mir-29c/hsa-mir-20b/hsa-mir-486-1/hsa-mir-133a-2	20
Silica	Silica	9/196	13/1764	1.04E-06	7.21E-06	2.59E-06	hsa-let-7a-1/hsa-let-7a-2/hsa-let-7a-3/hsa-mir-29b-2/hsa-mir-7-1/hsa-mir-29b-1/hsa-mir-200c/hsa-mir-149/hsa-mir-29c	9
Wound Healing	Wound Healing	12/196	23/1764	1.15E-06	7.84E-06	2.81E-06	hsa-mir-142/hsa-mir-23a/hsa-mir-210/hsa-mir-29b-2/hsa-mir-132/hsa-mir-29b-1/hsa-mir-147b/hsa-mir-18a/hsa-mir-155/hsa-mir-203a/hsa-mir-203b/hsa-mir-31	12
Regulation of Stem Cell	Regulation of Stem Cell	24/196	78/1764	1.16E-06	7.85E-06	2.82E-06	hsa-mir-106a/hsa-mir-323b/hsa-mir-199b/hsa-mir-126/hsa-mir-192/hsa-mir-199a-2/hsa-mir-142/hsa-mir-135b/hsa-mir-148a/hsa-mir-199a-1/hsa-mir-128-2/hsa-mir-323a/hsa-mir-210/hsa-mir-134/hsa-mir-143/hsa-mir-222/hsa-mir-132/hsa-mir-296/hsa-mir-200c/hsa-mir-93/hsa-mir-155/hsa-mir-203a/hsa-mir-203b/hsa-mir-133a-2	24
Preeclampsia	Preeclampsia	23/196	74/1764	1.63E-06	1.09E-05	3.90E-06	hsa-mir-106a/hsa-mir-301a/hsa-mir-126/hsa-mir-142/hsa-mir-135b/hsa-mir-128-2/hsa-mir-188/hsa-mir-210/hsa-mir-222/hsa-mir-29b-2/hsa-mir-296/hsa-mir-29b-1/hsa-mir-149/hsa-mir-93/hsa-mir-95/hsa-mir-130a/hsa-mir-582/hsa-mir-18a/hsa-mir-411/hsa-mir-155/hsa-mir-203a/hsa-mir-203b/hsa-mir-34b	23
P. macrocarpa ethyl acetate fraction (PMEAF)	P. macrocarpa ethyl acetate fraction (PMEAF)	11/196	20/1764	1.66E-06	1.09E-05	3.92E-06	hsa-mir-455/hsa-mir-192/hsa-mir-148a/hsa-mir-23a/hsa-mir-210/hsa-mir-29b-2/hsa-mir-132/hsa-mir-29b-1/hsa-mir-200c/hsa-mir-100/hsa-mir-99b	11
MYC	MYC	16/196	40/1764	1.67E-06	1.09E-05	3.92E-06	hsa-mir-106a/hsa-let-7f-1/hsa-let-7f-2/hsa-mir-19a/hsa-mir-23a/hsa-let-7a-1/hsa-let-7a-2/hsa-let-7a-3/hsa-mir-23b/hsa-let-7e/hsa-mir-93/hsa-mir-19b-1/hsa-mir-18a/hsa-mir-19b-2/hsa-mir-29c/hsa-mir-20b	16
"Carcinoma, Thyroid"	"Carcinoma, Thyroid"	15/196	36/1764	1.94E-06	1.26E-05	4.51E-06	hsa-mir-551b/hsa-mir-539/hsa-mir-126/hsa-mir-142/hsa-mir-148a/hsa-let-7a-1/hsa-let-7a-2/hsa-let-7a-3/hsa-mir-23b/hsa-mir-222/hsa-mir-7-1/hsa-mir-149/hsa-mir-639/hsa-mir-155/hsa-mir-486-1	15
bisphenol A (BPA)	bisphenol A (BPA)	14/196	32/1764	2.15E-06	1.35E-05	4.84E-06	hsa-let-7f-1/hsa-let-7f-2/hsa-mir-192/hsa-mir-19a/hsa-let-7a-1/hsa-let-7a-2/hsa-let-7a-3/hsa-let-7e/hsa-mir-627/hsa-mir-149/hsa-mir-19b-1/hsa-mir-19b-2/hsa-mir-155/hsa-mir-1224	14
Chronic Kidney Disease	Chronic Kidney Disease	14/196	32/1764	2.15E-06	1.35E-05	4.84E-06	hsa-mir-126/hsa-mir-19a/hsa-let-7a-1/hsa-let-7a-2/hsa-let-7a-3/hsa-mir-210/hsa-mir-143/hsa-mir-29b-2/hsa-mir-374a/hsa-mir-29b-1/hsa-mir-130a/hsa-mir-29c/hsa-mir-217/hsa-mir-133a-2	14
Pleural Mesothelioma	Pleural Mesothelioma	14/196	32/1764	2.15E-06	1.35E-05	4.84E-06	hsa-mir-16-2/hsa-mir-16-1/hsa-mir-126/hsa-mir-23a/hsa-let-7a-1/hsa-let-7a-2/hsa-let-7a-3/hsa-mir-30e/hsa-mir-143/hsa-mir-222/hsa-mir-320a/hsa-mir-411/hsa-mir-31/hsa-mir-34b	14
"Squamous Cell Carcinoma, Laryngeal or Hypopharyngeal"	"Squamous Cell Carcinoma, Laryngeal or Hypopharyngeal"	13/196	28/1764	2.22E-06	1.38E-05	4.95E-06	hsa-mir-148a/hsa-mir-19a/hsa-mir-23a/hsa-mir-140/hsa-mir-107/hsa-mir-340/hsa-mir-132/hsa-mir-149/hsa-mir-93/hsa-mir-504/hsa-mir-155/hsa-mir-203a/hsa-mir-203b	13
Angiogenesis	Angiogenesis	21/196	65/1764	2.38E-06	1.46E-05	5.25E-06	hsa-mir-16-2/hsa-mir-16-1/hsa-let-7f-1/hsa-let-7f-2/hsa-mir-126/hsa-mir-19a/hsa-mir-210/hsa-mir-134/hsa-mir-143/hsa-mir-222/hsa-mir-320a/hsa-mir-296/hsa-mir-149/hsa-mir-93/hsa-mir-130a/hsa-mir-19b-1/hsa-mir-18a/hsa-mir-19b-2/hsa-mir-31/hsa-mir-486-1/hsa-mir-133a-2	21
Adipocyte Differentiation	Adipocyte Differentiation	16/196	41/1764	2.47E-06	1.51E-05	5.41E-06	hsa-let-7f-1/hsa-let-7f-2/hsa-mir-103a-2/hsa-mir-103a-1/hsa-mir-33b/hsa-mir-192/hsa-mir-19a/hsa-mir-23a/hsa-let-7a-1/hsa-let-7a-2/hsa-let-7a-3/hsa-let-7e/hsa-mir-143/hsa-mir-222/hsa-mir-320a/hsa-mir-130a	16
Polycystic Kidney Disease	Polycystic Kidney Disease	9/196	14/1764	2.65E-06	1.60E-05	5.73E-06	hsa-mir-199b/hsa-mir-199a-2/hsa-mir-199a-1/hsa-mir-143/hsa-mir-1-2/hsa-mir-1-1/hsa-mir-31/hsa-mir-217/hsa-mir-133a-2	9
tumor necrosis factor alpha (TNF-α) 	tumor necrosis factor alpha (TNF-α) 	25/196	87/1764	2.84E-06	1.70E-05	6.09E-06	hsa-mir-106a/hsa-mir-126/hsa-mir-33a/hsa-mir-142/hsa-mir-19a/hsa-mir-23a/hsa-mir-23b/hsa-mir-128-2/hsa-mir-140/hsa-mir-222/hsa-mir-330/hsa-mir-29b-2/hsa-mir-29b-1/hsa-mir-149/hsa-mir-130a/hsa-mir-19b-1/hsa-mir-19b-2/hsa-mir-155/hsa-mir-499a/hsa-mir-31/hsa-mir-187/hsa-mir-20b/hsa-mir-105-2/hsa-mir-486-1/hsa-mir-320d-1	25
Bladder Neoplasms	Bladder Neoplasms	15/196	37/1764	2.95E-06	1.75E-05	6.26E-06	hsa-mir-199b/hsa-mir-210/hsa-mir-143/hsa-mir-29b-1/hsa-mir-149/hsa-mir-93/hsa-mir-328/hsa-mir-212/hsa-mir-1-2/hsa-mir-203a/hsa-mir-1-1/hsa-mir-203b/hsa-mir-1224/hsa-mir-133a-2/hsa-mir-34b	15
"Carcinoma, Esophageal"	"Carcinoma, Esophageal"	21/196	66/1764	3.15E-06	1.83E-05	6.58E-06	hsa-mir-106a/hsa-mir-126/hsa-mir-192/hsa-mir-140/hsa-mir-30c-1/hsa-mir-30c-2/hsa-mir-143/hsa-mir-340/hsa-mir-374a/hsa-mir-200c/hsa-mir-93/hsa-mir-328/hsa-mir-212/hsa-mir-203a/hsa-mir-203b/hsa-mir-31/hsa-mir-217/hsa-mir-483/hsa-mir-20b/hsa-mir-133a-2/hsa-mir-34b	21
Allergic Rhinitis	Allergic Rhinitis	11/196	21/1764	3.15E-06	1.83E-05	6.58E-06	hsa-mir-126/hsa-mir-19a/hsa-let-7e/hsa-mir-143/hsa-mir-149/hsa-mir-19b-1/hsa-mir-18a/hsa-mir-19b-2/hsa-mir-155/hsa-mir-499a/hsa-mir-187	11
"Carcinoma, Thyroid, Papillary"	"Carcinoma, Thyroid, Papillary"	19/196	56/1764	3.26E-06	1.86E-05	6.67E-06	hsa-mir-199b/hsa-mir-126/hsa-mir-192/hsa-mir-135b/hsa-mir-130b/hsa-mir-1271/hsa-let-7a-1/hsa-let-7a-2/hsa-let-7a-3/hsa-mir-140/hsa-let-7e/hsa-mir-30c-2/hsa-mir-222/hsa-mir-7-1/hsa-mir-151a/hsa-mir-155/hsa-mir-31/hsa-mir-151b/hsa-mir-34b	19
Coronary Heart Diseases	Coronary Heart Diseases	19/196	56/1764	3.26E-06	1.86E-05	6.67E-06	hsa-mir-616/hsa-mir-126/hsa-mir-199a-2/hsa-mir-154/hsa-mir-23a/hsa-mir-199a-1/hsa-mir-361/hsa-mir-32/hsa-mir-545/hsa-mir-340/hsa-mir-149/hsa-mir-130a/hsa-mir-18a/hsa-mir-1-2/hsa-mir-155/hsa-mir-1-1/hsa-mir-31/hsa-mir-486-1/hsa-mir-133a-2	19
human immunodeficiency virus (HIV)-1	human immunodeficiency virus (HIV)-1	12/196	25/1764	3.61E-06	2.04E-05	7.32E-06	hsa-mir-103a-2/hsa-mir-103a-1/hsa-mir-19a/hsa-mir-23a/hsa-mir-107/hsa-mir-222/hsa-mir-29b-2/hsa-mir-29b-1/hsa-mir-93/hsa-mir-19b-1/hsa-mir-19b-2/hsa-mir-155	12
